sample,n_cells
INCOV053-AC_C01,278
INCOV053-BL_C0005,15
INCOV053-BL_C001,30
INCOV053-BL_C01,302
INCOV053-PD1_C0005,3
INCOV053-PD1_C001,6
INCOV053-PD1_C01,68
INCOV055-BL_C0005,10
INCOV055-BL_C001,20
INCOV055-BL_C01,200
INCOV056-AC_C0005,8
INCOV056-AC_C001,17
INCOV056-AC_C01,176
INCOV056-BL_C0005,18
INCOV056-BL_C001,37
INCOV056-BL_C01,378
INCOV056-CV_C0005,31
INCOV056-CV_C001,62
INCOV056-CV_C01,623
INCOV057-AC_C0005,8
INCOV057-AC_C001,16
INCOV057-AC_C01,167
INCOV057-BL_C0005,7
INCOV057-BL_C001,14
INCOV057-BL_C01,149
INCOV057-CV_C0005,14
INCOV057-CV_C001,29
INCOV057-CV_C01,298
INCOV058-AC_C0005,7
INCOV058-AC_C001,14
INCOV058-AC_C01,149
INCOV058-BL_C0005,8
INCOV058-BL_C001,17
INCOV058-BL_C01,172
INCOV058-CV_C0005,16
INCOV058-CV_C001,32
INCOV058-CV_C01,323
INCOV059-AC_C0005,16
INCOV059-AC_C001,32
INCOV059-AC_C01,320
INCOV059-BL_C0005,15
INCOV059-BL_C001,30
INCOV059-BL_C01,304
INCOV059-CV_C0005,10
INCOV059-CV_C001,20
INCOV059-CV_C01,204
INCOV060-AC_C0005,17
INCOV060-AC_C001,34
INCOV060-AC_C01,348
INCOV060-BL_C0005,6
INCOV060-BL_C001,13
INCOV060-BL_C01,136
INCOV060-CV_C0005,27
INCOV060-CV_C001,54
INCOV060-CV_C01,543
INCOV061-AC_C0005,23
INCOV061-AC_C001,47
INCOV061-AC_C01,477
INCOV061-BL_C0005,5
INCOV061-BL_C001,11
INCOV061-BL_C01,116
INCOV061-CV_C0005,24
INCOV061-CV_C001,48
INCOV061-CV_C01,482
INCOV062-AC_C0005,18
INCOV062-AC_C001,36
INCOV062-AC_C01,360
INCOV062-BL_C0005,13
INCOV062-BL_C001,26
INCOV062-BL_C01,260
INCOV063-AC_C0005,13
INCOV063-AC_C001,26
INCOV063-AC_C01,262
INCOV063-BL_C0005,6
INCOV063-BL_C001,12
INCOV063-BL_C01,128
INCOV063-CV_C0005,8
INCOV063-CV_C001,17
INCOV063-CV_C01,175
INCOV066-AC_C0005,13
INCOV066-AC_C001,26
INCOV066-AC_C01,266
INCOV066-BL_C0005,19
INCOV066-BL_C001,38
INCOV066-BL_C01,387
INCOV066-CV_C0005,16
INCOV066-CV_C001,32
INCOV066-CV_C01,320
INCOV067-AC_C0005,10
INCOV067-AC_C001,20
INCOV067-AC_C01,203
INCOV067-BL_C0005,7
INCOV067-BL_C001,14
INCOV067-BL_C01,142
INCOV067-CV_C0005,9
INCOV067-CV_C001,18
INCOV067-CV_C01,180
INCOV068-AC_C0005,7
INCOV068-AC_C001,14
INCOV068-AC_C01,149
INCOV068-BL_C0005,9
INCOV068-BL_C001,18
INCOV068-BL_C01,184
INCOV068-CV_C0005,24
INCOV068-CV_C001,49
INCOV068-CV_C01,493
INCOV069-AC_C0005,18
INCOV069-AC_C001,37
INCOV069-AC_C01,373
INCOV069-BL_C0005,19
INCOV069-BL_C001,38
INCOV069-BL_C01,381
INCOV069-CV_C0005,9
INCOV069-CV_C001,18
INCOV069-CV_C01,180
INCOV070-AC_C0005,23
INCOV070-AC_C001,47
INCOV070-AC_C01,474
INCOV070-BL_C0005,7
INCOV070-BL_C001,14
INCOV070-BL_C01,141
INCOV071-AC_C0005,10
INCOV071-AC_C001,21
INCOV071-AC_C01,214
INCOV071-BL_C0005,19
INCOV071-BL_C001,39
INCOV071-BL_C01,392
INCOV072-AC_C0005,16
INCOV072-AC_C001,32
INCOV072-AC_C01,329
INCOV072-BL_C0005,8
INCOV072-BL_C001,17
INCOV072-BL_C01,174
INCOV073-AC_C0005,2
INCOV073-AC_C001,5
INCOV073-AC_C01,58
INCOV073-BL_C0005,4
INCOV073-BL_C001,8
INCOV073-BL_C01,81
INCOV073-CV_C0005,5
INCOV073-CV_C001,11
INCOV073-CV_C01,116
INCOV074-AC_C0005,2
INCOV074-AC_C001,4
INCOV074-AC_C01,44
INCOV074-BL_C0005,5
INCOV074-BL_C001,11
INCOV074-BL_C01,114
INCOV075-AC_C0005,7
INCOV075-AC_C001,14
INCOV075-AC_C01,142
INCOV075-BL_C0005,9
INCOV075-BL_C001,18
INCOV075-BL_C01,183
INCOV076-AC_C0005,7
INCOV076-AC_C001,15
INCOV076-AC_C01,150
INCOV076-BL_C0005,5
INCOV076-BL_C001,10
INCOV076-BL_C01,107
INCOV076-CV_C0005,17
INCOV076-CV_C001,34
INCOV076-CV_C01,340
INCOV077-AC_C0005,22
INCOV077-AC_C001,45
INCOV077-AC_C01,457
INCOV077-BL_C0005,19
INCOV077-BL_C001,38
INCOV077-BL_C01,384
INCOV077-CV_C0005,24
INCOV077-CV_C001,49
INCOV077-CV_C01,491
INCOV078-AC_C0005,5
INCOV078-AC_C001,11
INCOV078-AC_C01,111
INCOV078-BL_C0005,7
INCOV078-BL_C001,15
INCOV078-BL_C01,158
INCOV079-AC_C0005,3
INCOV079-AC_C001,7
INCOV079-AC_C01,70
INCOV079-BL_C0005,6
INCOV079-BL_C001,13
INCOV079-BL_C01,135
INCOV080-AC_C0005,4
INCOV080-AC_C001,8
INCOV080-AC_C01,84
INCOV080-BL_C0005,2
INCOV080-BL_C001,5
INCOV080-BL_C01,55
INCOV081-AC_C0005,19
INCOV081-AC_C001,39
INCOV081-AC_C01,397
INCOV081-BL_C0005,6
INCOV081-BL_C001,12
INCOV081-BL_C01,121
INCOV082-AC_C0005,11
INCOV082-AC_C001,23
INCOV082-AC_C01,230
INCOV082-BL_C0005,21
INCOV082-BL_C001,43
INCOV082-BL_C01,437
INCOV082-CV_C0005,23
INCOV082-CV_C001,46
INCOV082-CV_C01,460
INCOV083-AC_C0005,11
INCOV083-AC_C001,23
INCOV083-AC_C01,231
INCOV083-BL_C0005,18
INCOV083-BL_C001,37
INCOV083-BL_C01,376
INCOV083-CV_C0005,17
INCOV083-CV_C001,34
INCOV083-CV_C01,344
INCOV086-AC_C0005,10
INCOV086-AC_C001,20
INCOV086-AC_C01,207
INCOV086-BL_C0005,6
INCOV086-BL_C001,12
INCOV086-BL_C01,126
INCOV087-AC_C0005,6
INCOV087-AC_C001,13
INCOV087-AC_C01,133
INCOV087-BL_C0005,5
INCOV087-BL_C001,10
INCOV087-BL_C01,100
INCOV088-AC_C0005,4
INCOV088-AC_C001,8
INCOV088-AC_C01,82
INCOV088-BL_C0005,4
INCOV088-BL_C001,9
INCOV088-BL_C01,94
INCOV090-AC_C0005,4
INCOV090-AC_C001,9
INCOV090-AC_C01,93
INCOV090-BL_C0005,3
INCOV090-BL_C001,6
INCOV090-BL_C01,69
INCOV091-AC_C0005,5
INCOV091-AC_C001,10
INCOV091-AC_C01,103
INCOV091-BL_C0005,8
INCOV091-BL_C001,17
INCOV091-BL_C01,175
INCOV092-AC_C0005,5
INCOV092-AC_C001,11
INCOV092-AC_C01,118
INCOV092-BL_C0005,8
INCOV092-BL_C001,16
INCOV092-BL_C01,160
INCOV093-AC_C0005,7
INCOV093-AC_C001,15
INCOV093-AC_C01,150
INCOV093-BL_C0005,5
INCOV093-BL_C001,10
INCOV093-BL_C01,106
INCOV094-AC_C0005,5
INCOV094-AC_C001,10
INCOV094-AC_C01,101
INCOV094-BL_C0005,7
INCOV094-BL_C001,14
INCOV094-BL_C01,144
INCOV096-AC_C0005,3
INCOV096-AC_C001,7
INCOV096-AC_C01,77
INCOV096-BL_C0005,2
INCOV096-BL_C001,4
INCOV096-BL_C01,41
INCOV097-AC_C0005,4
INCOV097-AC_C001,8
INCOV097-AC_C01,85
INCOV097-BL_C0005,2
INCOV097-BL_C001,5
INCOV097-BL_C01,56
INCOV098-AC_C0005,2
INCOV098-AC_C001,4
INCOV098-AC_C01,44
INCOV098-BL_C0005,4
INCOV098-BL_C001,8
INCOV098-BL_C01,83
INCOV098-CV_C0005,13
INCOV098-CV_C001,27
INCOV098-CV_C01,272
INCOV100-AC_C0005,5
INCOV100-AC_C001,10
INCOV100-AC_C01,107
INCOV100-BL_C0005,6
INCOV100-BL_C001,13
INCOV100-BL_C01,135
INCOV101-AC_C0005,2
INCOV101-AC_C001,5
INCOV101-AC_C01,57
INCOV101-BL_C0005,7
INCOV101-BL_C001,14
INCOV101-BL_C01,149
INCOV102-AC_C0005,3
INCOV102-AC_C001,7
INCOV102-AC_C01,73
INCOV102-BL_C0005,6
INCOV102-BL_C001,13
INCOV102-BL_C01,136
INCOV103-AC_C0005,3
INCOV103-AC_C001,7
INCOV103-AC_C01,79
INCOV103-BL_C0005,3
INCOV103-BL_C001,7
INCOV103-BL_C01,77
INCOV104-AC_C0005,9
INCOV104-AC_C001,18
INCOV104-AC_C01,182
INCOV104-BL_C0005,9
INCOV104-BL_C001,19
INCOV104-BL_C01,193
INCOV105-AC_C0005,5
INCOV105-AC_C001,10
INCOV105-AC_C01,104
INCOV105-BL_C0005,2
INCOV105-BL_C001,4
INCOV105-BL_C01,45
INCOV106-AC_C0005,4
INCOV106-AC_C001,8
INCOV106-AC_C01,84
INCOV106-BL_C0005,8
INCOV106-BL_C001,17
INCOV106-BL_C01,178
INCOV106-CV_C0005,7
INCOV106-CV_C001,15
INCOV106-CV_C01,158
INCOV107-AC_C0005,3
INCOV107-AC_C001,7
INCOV107-AC_C01,75
INCOV107-BL_C0005,4
INCOV107-BL_C001,9
INCOV107-BL_C01,90
INCOV108-AC_C0005,4
INCOV108-AC_C001,9
INCOV108-AC_C01,91
INCOV108-BL_C0005,2
INCOV108-BL_C001,5
INCOV108-BL_C01,58
INCOV109-AC_C0005,2
INCOV109-AC_C001,4
INCOV109-AC_C01,47
INCOV109-BL_C0005,1
INCOV109-BL_C001,2
INCOV109-BL_C01,29
INCOV110-AC_C0005,4
INCOV110-AC_C001,8
INCOV110-AC_C01,80
INCOV110-BL_C0005,5
INCOV110-BL_C001,11
INCOV110-BL_C01,118
INCOV111-AC_C0005,10
INCOV111-AC_C001,20
INCOV111-AC_C01,201
INCOV111-BL_C0005,15
INCOV111-BL_C001,31
INCOV111-BL_C01,319
INCOV112-AC_C0005,9
INCOV112-AC_C001,19
INCOV112-AC_C01,196
INCOV112-BL_C0005,7
INCOV112-BL_C001,15
INCOV112-BL_C01,159
INCOV113-AC_C0005,8
INCOV113-AC_C001,16
INCOV113-AC_C01,167
INCOV113-BL_C0005,8
INCOV113-BL_C001,17
INCOV113-BL_C01,176
INCOV114-AC_C0005,6
INCOV114-AC_C001,13
INCOV114-AC_C01,133
INCOV114-BL_C0005,4
INCOV114-BL_C001,9
INCOV114-BL_C01,95
INCOV114-CV_C0005,6
INCOV114-CV_C001,12
INCOV114-CV_C01,127
INCOV115-AC_C0005,11
INCOV115-AC_C001,23
INCOV115-AC_C01,236
INCOV115-BL_C0005,10
INCOV115-BL_C001,21
INCOV115-BL_C01,215
INCOV116-AC_C0005,7
INCOV116-AC_C001,15
INCOV116-AC_C01,158
INCOV116-BL_C0005,13
INCOV116-BL_C001,26
INCOV116-BL_C01,266
INCOV117-AC_C0005,8
INCOV117-AC_C001,17
INCOV117-AC_C01,174
INCOV117-BL_C0005,5
INCOV117-BL_C001,10
INCOV117-BL_C01,102
INCOV119-AC_C0005,10
INCOV119-AC_C001,21
INCOV119-AC_C01,219
INCOV119-BL_C0005,7
INCOV119-BL_C001,15
INCOV119-BL_C01,158
INCOV120-AC_C0005,12
INCOV120-AC_C001,24
INCOV120-AC_C01,248
INCOV120-BL_C0005,13
INCOV120-BL_C001,27
INCOV120-BL_C01,279
INCOV121-AC_C0005,9
INCOV121-AC_C001,19
INCOV121-AC_C01,191
INCOV121-BL_C0005,10
INCOV121-BL_C001,21
INCOV121-BL_C01,212
