sample,genotyper,celltype,gene,TE,seTE,lower,upper,n_cells
INCOV003-BL,hlaminer,B,C,1.4346107681295663,0.14454719895994483,1.1513034641019289,1.7179180721572038,90
INCOV003-BL,hlaminer,CD16 Monocyte,C,1.547740452726236,0.14535291607955386,1.2628539721624374,1.8326269332900345,38
INCOV003-BL,hlaminer,cDC,C,1.505688647746957,0.13395132137098686,1.2431488821782724,1.7682284133156418,25
INCOV003-BL,hlaminer,NK,C,0.9465725737025806,0.09561491136879842,0.7591707910347464,1.1339743563704148,83
INCOV003-BL,hlaminer,CD8 T,DPA1,1.9353707429208877,0.6384536846266422,0.6840245152557753,3.186716970586,23
INCOV003-BL,hlaminer,CD14 Monocyte,DPA1,1.4158196024107412,0.14369919469613146,1.1341743561989146,1.6974648486225679,291
INCOV003-BL,hlaminer,pDC,DPA1,1.1603138423080017,0.3318767047397004,0.5098474537103557,1.8107802309056478,11
INCOV003-BL,hlaminer,CD4 T,DPA1,2.337108536132048,0.40652526520287424,1.5403336575288205,3.1338834147352754,83
INCOV003-BL,hlaminer,B,DPA1,1.1280700112182194,0.1450827462159967,0.843713053856701,1.4124269685797377,85
INCOV003-BL,hlaminer,CD16 Monocyte,DPA1,1.30356098347247,0.2733745088787064,0.7677567917788803,1.8393651751660596,31
INCOV003-BL,hlaminer,cDC,DPA1,1.2299685412204742,0.09762020155376576,1.0386364620115522,1.421300620429396,25
INCOV003-BL,hlaminer,NK,DPA1,2.4936236381472567,0.7789075284527546,0.9669929350927506,4.020254341201763,23
INCOV003-BL,hlaminer,pDC,DPB1,2.5780310367783383,1.8506580482511399,-1.0491920854930847,6.205254159049762,4
INCOV003-BL,hlaminer,cDC,DPB1,3.3113343125220003,0.7804292919456093,1.781721007828511,4.840947617215489,20
INCOV003-BL,hlaminer,B,DPB1,2.571221967275564,0.6892705716617843,1.2202764712151328,3.9221674633359953,29
INCOV003-BL,hlaminer,CD14 Monocyte,DPB1,2.452034192112729,0.6171903600913838,1.24236331472831,3.661705069497148,37
INCOV003-BL,hlaminer,CD16 Monocyte,DPB1,2.5195306857545408,1.5207443944823928,-0.46107355712212117,5.500134928631203,6
INCOV003-BL,hlaminer,CD8 T,DPB1,2.3978952727983702,2.1788700620906116,-1.8726115758917792,6.668402121488519,3
INCOV003-BL,hlaminer,CD4 T,DPB1,2.3978952727983707,3.773913650631694,-4.998839563203824,9.794630108800565,1
INCOV003-BL,hlaminer,NK,DPB1,2.3978952727983707,3.773913650631694,-4.998839563203824,9.794630108800565,1
INCOV003-BL,hlaminer,B,DQA1,1.4988598994120277,0.26102434293656107,0.987261588168136,2.0104582106559192,72
INCOV003-BL,hlaminer,cDC,DQA1,1.1211473488473398,0.2311031962030147,0.6681934075773373,1.5741012901173423,22
INCOV003-BL,hlaminer,CD14 Monocyte,DQA1,2.5296582002536643,0.5816685891497091,1.389608714582009,3.6697076859253195,41
INCOV003-BL,hlaminer,CD16 Monocyte,DQA1,2.543110520075055,1.1749444086549443,0.24026179527465308,4.845959244875457,10
INCOV003-BL,hlaminer,CD8 T,DQA1,2.543110520075055,1.6616223177542586,-0.713609378631261,5.7998304187813705,5
INCOV003-BL,hlaminer,CD4 T,DQA1,2.3978952727983702,2.1788700620906116,-1.8726115758917792,6.668402121488519,3
INCOV003-BL,hlaminer,pDC,DQA1,1.4657237383912642,1.3520311824946052,-1.1842086852732625,4.1156561620557905,5
INCOV003-BL,hlaminer,NK,DQA1,2.3978952727983707,3.773913650631694,-4.998839563203824,9.794630108800565,1
INCOV003-BL,hlaminer,CD14 Monocyte,DQB1,1.8453505590441,0.4896221962796253,0.8857086883046333,2.8049924297835664,45
INCOV003-BL,hlaminer,CD4 T,DQB1,2.453416891918077,0.41945139530720654,1.6313072638508794,3.2755265199852746,80
INCOV003-BL,hlaminer,B,DQB1,0.9678933168819431,0.2533163968142203,0.47140230243261455,1.4643843313312717,66
INCOV003-BL,hlaminer,cDC,DQB1,0.517817907724342,0.2115995640971322,0.10309038294958828,0.9325454324990957,23
INCOV003-BL,hlaminer,NK,DQB1,2.6350639876928437,2.1235129191984607,-1.526944854641652,6.797072830027339,3
INCOV003-BL,hlaminer,CD16 Monocyte,DQB1,2.543110520075055,1.6616223177542586,-0.713609378631261,5.7998304187813705,5
INCOV003-BL,hlaminer,pDC,DQB1,0.9360359556062241,0.8958483675677533,-0.8197945804355722,2.69186649164802,6
INCOV003-BL,hlaminer,CD8 T,DQB1,2.3978952727983707,1.6877454928053721,-0.9100251081699628,5.705815653766704,5
INCOV003-BL,hlaminer,CD14 Monocyte,DRB1,2.9264826214775863,0.11488065753229615,2.701320670194006,3.1516445727611666,978
INCOV003-BL,hlaminer,pDC,DRB1,4.330611074654558,1.0393818084502793,2.2934601639059022,6.367761985403215,10
INCOV003-BL,hlaminer,B,DRB1,3.6896290589432783,0.36475415928880567,2.9747240435260336,4.404534074360523,87
INCOV003-BL,hlaminer,CD16 Monocyte,DRB1,3.988202398864842,0.5525171660134779,2.9052886526382875,5.071116145091397,37
INCOV003-BL,hlaminer,cDC,DRB1,5.870440004115747,0.6374818419607173,4.620998553074487,7.1198814551570075,25
INCOV003-BL,hlaminer,CD4 T,DRB1,2.5433827356809644,0.5156189283873182,1.5327882062946838,3.553977265067245,52
INCOV003-BL,hlaminer,CD8 T,DRB1,2.751761524969407,0.7130113656206817,1.354284927785151,4.149238122153664,26
INCOV003-BL,hlaminer,NK,DRB1,2.3978952727983707,1.886956825315847,-1.3004721452027268,6.096262690799469,4
INCOV003-BL,invitro,CD8 T,A,0.558108877235242,0.1280430196387614,0.3071491702715149,0.8090685841989692,58
INCOV003-BL,invitro,CD4 T,A,0.6438015509487783,0.044400752395556034,0.556777675367008,0.7308254265305487,823
INCOV003-BL,invitro,CD14 Monocyte,A,0.6628520117731393,0.03460987610888919,0.5950179010903233,0.7306861224559554,1758
INCOV003-BL,invitro,pDC,A,0.9360154640309397,0.32632995462017833,0.2964205058988001,1.5756104221630793,12
INCOV003-BL,invitro,B,A,0.6731472542561059,0.15391745054424402,0.37147459459716275,0.9748199139150491,88
INCOV003-BL,invitro,cDC,A,0.5751874794555686,0.1528433638274839,0.27561999107774815,0.874754967833389,25
INCOV003-BL,invitro,NK,A,0.501905172271435,0.11360475936811787,0.27924393543758474,0.7245664091052854,81
INCOV003-BL,invitro,CD16 Monocyte,A,0.6878671347193034,0.19624652737689488,0.3032310089695358,1.072503260469071,32
INCOV003-BL,invitro,CD8 T,B,0.601247409859398,0.10229417623778107,0.4007545086051541,0.8017403111136419,57
INCOV003-BL,invitro,CD14 Monocyte,B,0.6726102758974262,0.028583716254908458,0.6165872214934935,0.7286333303013588,1853
INCOV003-BL,invitro,CD4 T,B,0.6050459242613266,0.03180757059743481,0.5427042314546393,0.667387617068014,853
INCOV003-BL,invitro,pDC,B,0.7697567955747104,0.20210914098279073,0.3736301583021125,1.1658834328473084,12
INCOV003-BL,invitro,B,B,0.541857463375319,0.10323213053672514,0.3395262054760003,0.7441887212746378,91
INCOV003-BL,invitro,CD16 Monocyte,B,0.5012411583308208,0.14427665498372969,0.21846411075279942,0.7840182059088423,38
INCOV003-BL,invitro,cDC,B,0.8174161917207714,0.12284807013991197,0.5766383986762935,1.0581939847652493,25
INCOV003-BL,invitro,NK,B,0.5695152677233681,0.09914258018065898,0.37519938123490204,0.7638311542118342,79
INCOV003-BL,invitro,CD8 T,C,0.9921638003738428,0.10207644754851243,0.7920976395089665,1.192229961238719,59
INCOV003-BL,invitro,CD4 T,C,1.1231058824312425,0.038068801115240664,1.0484924033107526,1.1977193615517325,854
INCOV003-BL,invitro,CD14 Monocyte,C,1.3237775105117613,0.031028383567054393,1.2629629962218403,1.3845920248016823,1876
INCOV003-BL,invitro,pDC,C,1.477839960607744,0.25140791563133874,0.9850895005420356,1.9705904206734521,11
INCOV003-BL,invitro,B,C,1.3474165862663532,0.1357523368981458,1.0813468951288396,1.6134862774038667,90
INCOV003-BL,invitro,CD16 Monocyte,C,1.38700146734277,0.13788599531556642,1.1167498825518012,1.6572530521337387,38
INCOV003-BL,invitro,cDC,C,1.4497432276416722,0.13062206864581768,1.1937286775097509,1.7057577777735935,25
INCOV003-BL,invitro,NK,C,0.8297719452714643,0.09157184238093652,0.6502944322068501,1.0092494583360783,82
INCOV003-BL,invitro,CD8 T,DPA1,2.96897172702714,0.5894281731027581,1.813713736272494,4.124229717781786,37
INCOV003-BL,invitro,CD4 T,DPA1,2.5217459679095695,0.30230698862990985,1.9292351579201867,3.1142567778989525,152
INCOV003-BL,invitro,CD14 Monocyte,DPA1,2.9976561649035225,0.1351422995868564,2.732782124925362,3.262530204881683,705
INCOV003-BL,invitro,pDC,DPA1,4.773319413147639,0.9863882521602323,2.8400339641401704,6.706604862155107,11
INCOV003-BL,invitro,B,DPA1,4.449068150492898,0.34604097396203604,3.7708403043521446,5.12729599663365,90
